timestamp(ms),GPS.Lat,GPS.Lng,GPS.Alt,GPS.Spd,GPS.VZ,GPS.Yaw,IMU[0].GyrX,IMU[0].GyrY,IMU[0].GyrZ,IMU[0].AccX,IMU[0].AccY,IMU[0].AccZ,IMU[0].GHz,ORGN[0].Lat,ORGN[0].Lng,ORGN[0].Alt,XKF1[0].PN,XKF1[0].PE,XKF1[0].PD,XKF1[0].VN,XKF1[0].VE,XKF1[0].VD,XKF1[0].Roll,XKF1[0].Pitch,XKF1[0].Yaw
109040.145,410998867,290255276,82.34,0.021000001579523087,0.03200000151991844,0,0.0005842001410201192,0.0005704545765183866,-0.0007139960653148592,-0.011077096685767174,-0.017558472231030464,-9.728769302368164,8001,410999060,290255149,86.22,-2.014336585998535,1.1341768503189087,-0.21784290671348572,-0.02105071023106575,-0.015367051586508751,-0.015382467769086361,-1.54,0.24,356.43
109140.145,410998867,290255276,82.34,0.021000001579523087,0.03200000151991844,0,0.0003741041000466794,0.0009245319524779916,-0.0016500724013894796,-0.007939759641885757,-0.005242364946752787,-9.731698036193848,8001,410999060,290255149,86.22,-2.0201234817504883,1.130790114402771,-0.21773025393486023,-0.020883753895759583,-0.015609251335263252,-0.014144159853458405,-1.54,0.23,356.43
109240.145,410998867,290255276,82.33,0.023000001907348633,0.05400000140070915,0,0.00209888257086277,0.0013077370822429657,0.0002115428214892745,-0.019583357498049736,-0.004195094108581543,-9.749125480651855,8001,410999060,290255149,86.22,-2.0201234817504883,1.130790114402771,-0.21773025393486023,-0.020883753895759583,-0.015609251335263252,-0.014144159853458405,-1.54,0.23,356.43
109340.145,410998867,290255276,82.33,0.023000001907348633,0.05400000140070915,0,0.0010568542638793588,-0.00048733767471276224,0.0011416311608627439,-0.001084315124899149,-0.006700439844280481,-9.759836196899414,8001,410999060,290255149,86.22,-2.0259034633636475,1.1277302503585815,-0.2159864604473114,-0.020219868049025536,-0.015054493211209774,-0.013924889266490936,-1.53,0.23,356.43
109440.145,410998866,290255275,82.32,0.012000000104308128,0.05000000074505806,0,0.0018271694425493479,0.0005578440031968057,0.0007495529134757817,-0.01728181540966034,-0.004556106403470039,-9.750045776367188,8001,410999060,290255149,86.22,-2.031266927719116,1.1245203018188477,-0.21389803290367126,-0.019409552216529846,-0.014337567612528801,-0.012771821580827236,-1.53,0.23,356.43
109540.145,410998866,290255275,82.32,0.012000000104308128,0.05000000074505806,0,-0.0005859555676579475,-0.00013884111831430346,0.001154785044491291,-0.01722528599202633,-0.00787349883466959,-9.752476692199707,8001,410999060,290255149,86.22,-2.0356385707855225,1.1215133666992188,-0.21142157912254333,-0.017982833087444305,-0.013940375298261642,-0.012308001518249512,-1.53,0.23,356.43
109640.145,410998865,290255274,82.31,0.018000001087784767,0.04200000315904617,0,0.00009795446385396644,0.00010028164979303256,-0.0020783105865120888,-0.006959935184568167,-0.006401128135621548,-9.74670696258545,8001,,,,-2.040224313735962,1.118454098701477,-0.2091676890850067,-0.016871431842446327,-0.013638647273182869,-0.011455520987510681,-1.53,0.23,356.43
109740.145,410998865,290255274,82.31,0.018000001087784767,0.04200000315904617,0,-0.001677424879744649,0.001292302506044507,-0.0001364966155961156,-0.011049461551010609,0.0011967881582677364,-9.740412712097168,8001,,,,-2.043793201446533,1.1158936023712158,-0.20884904265403748,-0.01567811518907547,-0.013049526140093803,-0.010815029963850975,-1.54,0.23,356.43
109840.145,410998864,290255274,82.31,0.020000001415610313,0.00800000037997961,0,-0.00014638606808148324,0.001045482000336051,0.0004469864070415497,-0.023190809413790703,-0.00805625505745411,-9.716092109680176,8001,,,,-2.049041271209717,1.1123603582382202,-0.20679423213005066,-0.015810150653123856,-0.012818722985684872,-0.009043709374964237,-1.54,0.23,356.44
109940.145,410998864,290255274,82.31,0.020000001415610313,0.00800000037997961,0,0.0005526724271476269,0.0006159517215564847,-0.000122739453217946,-0.0047316402196884155,0.0019912803545594215,-9.737451553344727,8001,,,,-2.053690195083618,1.109145164489746,-0.2049560248851776,-0.015114609152078629,-0.012596122920513153,-0.00828781072050333,-1.54,0.24,356.44
110040.145,410998863,290255273,82.3,0.005000000353902578,0.03200000151991844,0,0.00154453469440341,0.0013527662958949804,-0.00011141751747345552,-0.02073279395699501,-0.005099875386804342,-9.738259315490723,8001,,,,-2.0594406127929688,1.106529951095581,-0.20177337527275085,-0.015615714713931084,-0.012428395450115204,-0.007711954414844513,-1.54,0.24,356.44
