timestamp(ms),GPS[0].Lat,GPS[0].Lng,GPS[0].Alt,GPS[0].Spd,GPS[0].VZ,GPS[0].Yaw,IMU[0].GyrX,IMU[0].GyrY,IMU[0].GyrZ,IMU[0].AccX,IMU[0].AccY,IMU[0].AccZ,ORGN[0].Lat,ORGN[0].Lng,ORGN[0].Alt,XKF1[0].PN,XKF1[0].PE,XKF1[0].PD,XKF1[0].VN,XKF1[0].VE,XKF1[0].VD,XKF1[0].Roll,XKF1[0].Pitch,XKF1[0].Yaw,XKF1[0].GX,XKF1[0].GY,XKF1[0].GZ
82540.831,410998571,290255354,82.45,0.018000001,-0.018000001,0,-0.000539412,-8.04853E-05,-0.001193559,0.161298335,0.003589468,-9.661003113,NaN,NaN,NaN,-1.73936975,-1.110182285,0.291403085,-0.019751459,-0.005472495,1.65114E-05,-1.56,1.26,6.41,-0.02,0.01,-0.04
82640.831,410998569,290255354,82.45,0.029000001,0.024,0,0.000313459,0.000627816,0.000542245,0.175838828,-0.004330442,-9.68135643,NaN,NaN,NaN,-1.75125277,-1.114173174,0.290112913,-0.01578006,-0.008971075,-0.000936213,-1.56,1.26,6.41,-0.02,0.01,-0.04
82740.831,410998569,290255354,82.45,0.029000001,0.024,0,0.000643775,0.000571443,-0.001013902,0.169818252,-0.006340618,-9.662642479,NaN,NaN,NaN,-1.759873986,-1.117747903,0.289124966,-0.011160092,-0.011558641,-0.002663315,-1.56,1.26,6.4,-0.02,0.01,-0.04
82840.831,410998567,290255355,82.45,0.039000001,0.022000002,0,0.000632261,-0.000121715,-0.000264592,0.171300307,1.71364E-05,-9.653100014,NaN,NaN,NaN,-1.771737456,-1.119583607,0.289058656,-0.006937577,-0.009884532,-0.003609079,-1.56,1.27,6.4,-0.02,0.01,-0.04
82940.831,410998567,290255355,82.45,0.039000001,0.022000002,0,-0.000157341,-0.000209,-0.001481044,0.168865234,-0.002901686,-9.679793358,NaN,NaN,NaN,-1.779711485,-1.120301962,0.288602442,-0.003167569,-0.00777797,-0.004788926,-1.56,1.27,6.4,-0.02,0.01,-0.04
83040.831,410998565,290255355,82.44,0.039000001,0.080000006,0,-0.000870784,0.00027157,0.000672038,0.168875322,0.003335028,-9.67548275,NaN,NaN,NaN,-1.78929317,-1.120723605,0.288285255,0.002435431,-0.005445343,-0.005932331,-1.56,1.27,6.39,-0.02,0.01,-0.04
83140.831,410998565,290255355,82.44,0.039000001,0.080000006,0,-0.002385936,1.71728E-05,-0.000721339,0.168201938,-0.005898039,-9.667176247,NaN,NaN,NaN,-1.795471191,-1.12074542,0.288022786,0.008243495,-0.004022161,-0.00652593,-1.56,1.27,6.39,-0.02,0.01,-0.04
83240.831,410998564,290255355,82.42,0.018000001,0.031000001,0,0.000171538,0.001185134,-0.001081604,0.167666197,0.006961253,-9.682845116,NaN,NaN,NaN,-1.807094097,-1.122982264,0.290813029,0.009926099,-0.005816275,-0.005230465,-1.56,1.28,6.4,-0.02,0.01,-0.04
83340.831,410998564,290255355,82.42,0.018000001,0.031000001,0,-0.000765354,-0.001087592,-0.000163059,0.167279974,0.000878636,-9.670068741,NaN,NaN,NaN,-1.815219402,-1.125345111,0.293070078,0.011520156,-0.008021619,-0.004577499,-1.56,1.28,6.4,-0.02,0.01,-0.04
83440.831,410998562,290255355,82.43,0.043000001,0.096000001,0,-0.001525793,-0.001506468,-0.000795662,0.169407904,-0.001491328,-9.670563698,NaN,NaN,NaN,-1.828011274,-1.126204491,0.295654327,0.011427551,-0.00676136,-0.003749319,-1.56,1.28,6.41,-0.02,0.01,-0.04
