timestamp(ms),GPS[0].Lat,GPS[0].Lng,GPS[0].Alt,GPS[0].Spd,GPS[0].VZ,GPS[0].Yaw,IMU[0].GyrX,IMU[0].GyrY,IMU[0].GyrZ,IMU[0].AccX,IMU[0].AccY,IMU[0].AccZ,ORGN[0].Lat,ORGN[0].Lng,ORGN[0].Alt,XKF1[0].PN,XKF1[0].PE,XKF1[0].PD,XKF1[0].VN,XKF1[0].VE,XKF1[0].VD,XKF1[0].Roll,XKF1[0].Pitch,XKF1[0].Yaw,XKF1[0].GX,XKF1[0].GY,XKF1[0].GZ
184009.967,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.254824132,-2.622927427,-0.450755149,-0.023481386,-0.035667416,-0.057566859,-0.93,0.03,12.07,0,-0.03,0.01
184109.967,411006736,290244037,79.42,0.065000005,-0.085000001,0,0.000382205,0.000287228,-0.004822944,-0.045312036,-0.093644679,-9.70597744,NaN,NaN,NaN,0.254824132,-2.622927427,-0.450755149,-0.023481386,-0.035667416,-0.057566859,-0.93,0.03,12.07,0,-0.03,0.01
184209.967,411006736,290244037,79.42,0.065000005,-0.085000001,0,0.000382205,0.000287228,-0.004822944,-0.045312036,-0.093644679,-9.70597744,NaN,NaN,NaN,0.254824132,-2.622927427,-0.450755149,-0.023481386,-0.035667416,-0.057566859,-0.93,0.03,12.07,0,-0.03,0.01
184309.967,411006736,290244037,79.42,0.065000005,-0.085000001,0,0.000382205,0.000287228,-0.004822944,-0.045312036,-0.093644679,-9.70597744,NaN,NaN,NaN,0.254824132,-2.622927427,-0.450755149,-0.023481386,-0.035667416,-0.057566859,-0.93,0.03,12.07,0,-0.03,0.01
184409.967,411006736,290244037,79.42,0.065000005,-0.085000001,0,0.000382205,0.000287228,-0.004822944,-0.045312036,-0.093644679,-9.70597744,NaN,NaN,NaN,0.254824132,-2.622927427,-0.450755149,-0.023481386,-0.035667416,-0.057566859,-0.93,0.03,12.07,0,-0.03,0.01
184509.967,411006736,290244037,79.42,0.065000005,-0.085000001,0,0.00255757,-0.002515039,0.001764131,-0.036069911,-0.086499028,-9.699480057,NaN,NaN,NaN,0.245490387,-2.639165401,-0.457178026,-0.023990393,-0.032062951,-0.059155986,-0.93,0.02,12.05,0,-0.03,0.01
184609.967,411006736,290244037,79.42,0.065000005,-0.085000001,0,0.002476485,0.000267477,0.005070692,-0.050985646,-0.102306269,-9.704089165,NaN,NaN,NaN,0.238732412,-2.650633335,-0.463939995,-0.023902193,-0.028518926,-0.060167398,-0.93,0.02,12.08,0,-0.03,0.01
184709.967,411006735,290244032,79.48,0.037,-0.087000005,0,-0.001216154,0.000243562,-0.001518185,-0.03522937,-0.092312537,-9.689685822,NaN,NaN,NaN,0.228644282,-2.670137167,-0.471639484,-0.025309384,-0.029282277,-0.059960864,-0.93,0.02,12.05,0,-0.03,0.01
184809.967,411006735,290244032,79.48,0.037,-0.087000005,0,0.002665602,-0.000182737,0.004974044,-0.05287762,-0.102803752,-9.729717255,NaN,NaN,NaN,0.219696999,-2.692346096,-0.480299801,-0.023542713,-0.030074755,-0.061790682,-0.93,0.02,12.07,0,-0.03,0.01
184909.967,411006733,290244028,79.54,0.037,-0.035,0,-6.62893E-05,-0.002332626,-0.006136794,-0.05935362,-0.099601492,-9.702325821,NaN,NaN,NaN,0.219696999,-2.692346096,-0.480299801,-0.023542713,-0.030074755,-0.061790682,-0.93,0.02,12.07,0,-0.03,0.01
