timestamp(ms),GPS[0].Lat,GPS[0].Lng,GPS[0].Alt,GPS[0].Spd,GPS[0].VZ,GPS[0].Yaw,IMU[0].GyrX,IMU[0].GyrY,IMU[0].GyrZ,IMU[0].AccX,IMU[0].AccY,IMU[0].AccZ,ORGN[0].Lat,ORGN[0].Lng,ORGN[0].Alt,XKF1[0].PN,XKF1[0].PE,XKF1[0].PD,XKF1[0].VN,XKF1[0].VE,XKF1[0].VD,XKF1[0].Roll,XKF1[0].Pitch,XKF1[0].Yaw,XKF1[0].GX,XKF1[0].GY,XKF1[0].GZ
81640.831,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
81740.831,410998575,290255355,82.44,0.05300000309944153,0.036000002175569534,0,0.000008171433364623226,-0.00022573370370082557,-0.0016079321503639221,0.16284340620040894,-0.00043660233495756984,-9.646169662475586,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
81840.831,410998575,290255355,82.44,0.05300000309944153,0.036000002175569534,0,0.000008171433364623226,-0.00022573370370082557,-0.0016079321503639221,0.16284340620040894,-0.00043660233495756984,-9.646169662475586,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
81940.831,410998575,290255355,82.44,0.05300000309944153,0.036000002175569534,0,0.000008171433364623226,-0.00022573370370082557,-0.0016079321503639221,0.16284340620040894,-0.00043660233495756984,-9.646169662475586,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
82040.831,410998575,290255355,82.44,0.05300000309944153,0.036000002175569534,0,0.000008171433364623226,-0.00022573370370082557,-0.0016079321503639221,0.16284340620040894,-0.00043660233495756984,-9.646169662475586,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
82140.831,410998575,290255355,82.44,0.05300000309944153,0.036000002175569534,0,0.000008171433364623226,-0.00022573370370082557,-0.0016079321503639221,0.16284340620040894,-0.00043660233495756984,-9.646169662475586,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
82240.831,410998575,290255355,82.44,0.05300000309944153,0.036000002175569534,0,-0.000020467063222895268,-0.0013449154794216156,0.000389947701478377,0.17507056891918182,-0.001018813345581293,-9.679952621459961,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
82340.831,410998573,290255354,82.44,0.026000000536441803,-0.04400000348687172,0,0.0006993584684096277,-0.0000010176780733672786,-0.00010183617996517569,0.16825085878372192,-0.005452493205666542,-9.668866157531738,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
82440.831,410998571,290255354,82.45,0.018000001087784767,-0.018000001087784767,0,-0.0010761255398392677,0.00020616552501451224,-0.002701706485822797,0.16705715656280518,-0.014024526812136173,-9.659406661987305,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
82540.831,410998571,290255354,82.45,0.018000001087784767,-0.018000001087784767,0,-0.0005394117324613035,-0.00008048526797210798,-0.0011935585644096136,0.16129833459854126,0.003589468076825142,-9.661003112792969,NaN,NaN,NaN,-1.7393697500228882,-1.110182285308838,0.2914030849933624,-0.01975145936012268,-0.005472495220601559,0.000016511388821527362,-1.56,1.26,6.41,-0.02,0.01,-0.04
